swarm_name,date,hour,client_count,cpu_utilization,mem_usage,tx_power,utilization
	AP-DRET33,2025-01-29,7,1.7817178881008668,3.2742316784869976,59.66525972442751,,
	AP-DRET33,2025-04-15,4,0.009345794392523364,2.0,60.65325838628588,,
	AP-DRET33,2025-04-15,20,1.0598290598290598,1.9914529914529915,56.46073449689982,,
	AP-DRET33,2025-04-16,21,1.6635006784260515,2.7367706919945727,55.59296094623225,,
	AP-DRET33,2025-04-28,10,0.0,3.0,54.53619711524139,,
	AP-DRET33,2025-04-28,21,0.0,2.0,48.81182676696907,,
	AP-DRET33,2025-04-28,23,0.058823529411764705,2.011764705882353,51.9619160184554,,
	AP-DRET33,2025-04-29,12,0.25,2.0,54.52990088440113,,
	AP-DRET34,2025-01-21,9,1.8786446020488574,2.6178092986603625,61.231052758709865,,
	AP-DRET34,2025-04-15,4,0.0,2.0,66.17307821204086,,
	AP-DRET34,2025-04-15,20,0.0,2.0,65.76841872194355,,
	AP-DRET34,2025-04-15,21,1.4314185228604923,2.8300117233294255,60.50695100916303,,
	AP-DRET34,2025-04-28,10,0.0,3.0,57.080307609814,,
	AP-DRET34,2025-04-28,21,0.0,2.25,47.78893988730445,,
	AP-DRET34,2025-04-28,23,0.4943820224719101,2.033707865168539,52.68783641154445,,
 AP-CIEN60,2025-03-28,7,1.5303388494877856,2.7470449172576834,58.99780486855188,,
 AP-CIEN60,2025-04-15,4,0.018691588785046728,2.0,64.61600370624116,,
 AP-CIEN60,2025-04-15,20,1.8311840562719812,2.8007033997655335,59.73192340622759,,
 AP-CIEN60,2025-04-28,10,0.0,5.0,57.22541630671155,,
 AP-CIEN60,2025-04-28,22,0.0,1.5,48.343686697548335,,
 AP-CIEN60,2025-04-28,23,0.43529411764705883,1.8941176470588235,53.00969143348832,,
 AP-CIEN60,2025-04-29,12,0.0,2.5,55.32564367279106,,
48:00:20:c1:1b:b0,2025-04-28,21,1.0,5.0,61.719775800475254,,
48:00:20:c1:31:5b,2024-12-09,13,0.0,7.0,43.68447766597846,,
68:51:34:cd:f3:d2,2025-04-22,10,0.0,3.0,42.480814487725624,,
AP-AMICSUAB01,2025-03-28,10,1.7066085693536674,3.128540305010893,57.49971740092086,,
AP-AMICSUAB01,2025-04-15,21,1.5774647887323943,2.7464788732394365,60.20767267291189,,
AP-AMICSUAB01,2025-04-28,10,0.0,4.0,57.39636156985497,,
AP-AMICSUAB01,2025-04-28,22,1.0,1.6666666666666667,52.56878460629503,,
AP-AMICSUAB01,2025-04-28,23,1.588235294117647,2.0470588235294116,56.15465331486481,,
AP-AMICSUAB01,2025-04-29,12,2.0,2.0,57.12279239860723,,
AP-AMICSUAB02,2025-03-28,10,1.7066085693536674,2.3042846768336966,56.45798734693246,,
AP-AMICSUAB02,2025-04-15,21,1.1019929660023446,2.3411488862837047,59.33760555159046,,
AP-AMICSUAB02,2025-04-28,10,0.0,2.0,59.07327502251391,,
AP-AMICSUAB02,2025-04-28,22,0.0,1.0,48.971143009308804,,
AP-AMICSUAB02,2025-04-28,23,0.7411764705882353,1.411764705882353,52.339094291706054,,
AP-AMICSUAB02,2025-04-29,12,1.25,2.0,55.612538403964734,,
AP-AULAJ01,2025-04-02,10,5.184397163120567,6.5074862096138695,59.13856150637922,,
AP-AULAJ01,2025-04-15,4,0.0,2.0,62.7827414028969,,
AP-AULAJ01,2025-04-15,20,0.5148514851485149,2.5544554455445545,60.49608738325901,,
AP-AULAJ01,2025-04-16,14,4.7343957503320055,6.945551128818061,59.83939765783889,,
AP-AULAJ01,2025-04-28,10,0.0,5.0,56.2005861348726,,
AP-AULAJ01,2025-04-28,22,0.6666666666666666,2.0,53.58674149722997,,
AP-AULAJ01,2025-04-28,23,0.898876404494382,2.752808988764045,54.05114553911108,,
AP-AULAJ02,2025-04-02,9,3.469661150512214,3.7257683215130024,60.07406260273508,,
AP-AULAJ02,2025-04-15,4,0.0,2.0,61.61912203796085,,
AP-AULAJ02,2025-04-15,20,0.0,2.0,64.6131847835801,,
