associated_device_name,band,signal_db,hour,date,swarm_name,client_count,cpu_utilization,mem_usage,tx_power,utilization
AP-DRET02,5.0,-57.0,9.0,2025-04-02,AP-DRET02,13.303388494877856,12.479905437352246,76.66042954593891,16.016548463356973,2.178092986603625
AP-MRB05,5.0,-64.0,9.0,2025-04-02,AP-MRB05,6.804570527974783,5.792750197005516,66.30574631461609,20.62647754137116,2.479905437352246
AP-CIEN14,5.0,-86.0,9.0,2025-04-02,AP-CIEN14,4.774625689519307,10.331757289204099,72.50991557409637,17.23798266351458,2.771473601260835
AP-MRB06,2.4,-71.0,9.0,2025-04-02,AP-MRB06,1.9330181245074862,5.077226162332545,65.61186831566789,18.0,1.4688731284475964
AP-GTIP05,2.4,-58.0,9.0,2025-04-02,AP-GTIP05,3.555724033358605,3.152388172858226,58.31534569449332,,
AP-POL10,5.0,-76.0,9.0,2025-04-02,AP-POL10,3.3325453112687153,3.925925925925926,58.613893051042744,,
AP-LLET64,5.0,-63.0,9.0,2025-04-02,AP-LLET64,3.465721040189125,7.598896769109535,70.20942310765834,15.545311268715524,2.4286840031520884
AP-ETSE13,2.4,-65.0,9.0,2025-04-02,AP-ETSE13,7.055555555555555,3.6464646464646466,57.663506997225426,,
AP-VET77,2.4,-54.0,9.0,2025-04-02,AP-VET77,1.2293144208037825,2.0315208825847124,61.33445800668813,,
AP-REC09,2.4,-66.0,9.0,2025-04-02,AP-REC09,6.240346729708432,2.4814814814814814,57.954879676040456,,
AP-LLET39,5.0,-82.0,15.0,2025-04-02,AP-LLET39,12.790386130811664,8.951930654058314,69.33496171188887,15.918045705279749,4.531914893617022
AP-CCOM12,5.0,-67.0,9.0,2025-04-02,AP-CCOM12,3.239558707643814,3.289204097714736,57.180275090159846,,
AP-CIEN14,5.0,-85.0,9.0,2025-04-02,AP-CIEN14,4.774625689519307,10.331757289204099,72.50991557409637,17.23798266351458,2.771473601260835
AP-LLET48,5.0,-62.0,15.0,2025-04-02,AP-LLET48,1.7407407407407407,4.892828999211978,67.24194950033738,15.159180457052797,1.446808510638298
AP-MED58,5.0,-47.0,14.0,2025-04-01,AP-MED58,1.9992119779353823,4.721040189125295,65.65384869667015,17.09613869188337,1.6587864460204886
AP-BIBHUM01,5.0,-48.0,9.0,2025-04-02,AP-BIBHUM01,8.308835672997523,4.284888521882742,57.42465264620139,,
AP-ETSE75,5.0,-85.0,9.0,2025-04-02,AP-ETSE75,7.476753349093775,10.493301812450749,71.96704453523064,17.0,4.5650118203309695
AP-VET76,5.0,-55.0,9.0,2025-04-02,AP-VET76,2.5041322314049586,1.2861570247933884,56.82525168260928,,
AP-LLET45,5.0,-63.0,15.0,2025-04-02,AP-LLET45,4.832939322301025,5.692671394799055,66.52490432741408,15.049645390070921,2.2403467297084316
AP-MED59,5.0,-62.0,9.0,2025-04-02,AP-MED59,3.896719319562576,5.667071688942892,65.86008671840895,18.0,1.9501822600243013
AP-CCOM41,2.4,-75.0,9.0,2025-04-02,AP-CCOM41,1.5216706067769898,2.9235618597320725,58.352800091649904,,
AP-CIEN21,5.0,-50.0,9.0,2025-04-02,AP-CIEN21,4.61150512214342,3.4806934594168637,57.95558693025399,,
AP-DRET02,5.0,-84.0,9.0,2025-04-02,AP-DRET02,13.303388494877856,12.479905437352246,76.66042954593891,16.016548463356973,2.178092986603625
AP-BIBHUM07,5.0,-72.0,9.0,2025-04-02,AP-BIBHUM07,5.492981007431874,3.124690338563171,58.66555468948837,,
AP-MED43,5.0,-51.0,9.0,2025-04-02,AP-MED43,3.045705279747833,21.04728132387707,56.718529154745205,,
AP-MED19,5.0,-63.0,9.0,2025-04-02,AP-MED19,1.5681639085894405,5.9763593380614655,69.56972870483868,15.0,2.1055949566587864
AP-LLET42,5.0,-68.0,15.0,2025-04-02,AP-LLET42,3.3877068557919623,5.63672182821119,66.44622519383651,15.0,1.9330181245074862
AP-LLET25,2.4,-52.0,9.0,2025-04-02,AP-LLET25,7.0464933018124505,9.265563435776201,70.74503584446254,15.41371158392435,2.6587864460204886
AP-MED59,5.0,-67.0,9.0,2025-04-02,AP-MED59,3.896719319562576,5.667071688942892,65.86008671840895,18.0,1.9501822600243013
AP-MED43,5.0,-48.0,9.0,2025-04-02,AP-MED43,3.045705279747833,21.04728132387707,56.718529154745205,,
AP-VH16,2.4,-50.0,9.0,2025-04-02,AP-VH16,5.412451361867705,6.976653696498055,69.66591198434816,17.0,3.0817120622568095
AP-DRET02,5.0,-84.0,9.0,2025-04-02,AP-DRET02,13.303388494877856,12.479905437352246,76.66042954593891,16.016548463356973,2.178092986603625
AP-MED12,5.0,-53.0,9.0,2025-04-02,AP-MED12,2.8772782503037666,3.138517618469016,60.420496856304815,,
AP-MED48,5.0,-85.0,9.0,2025-04-02,AP-MED48,2.625,6.798611111111111,72.03447558663751,15.0,1.5416666666666667
AP-MED12,5.0,-59.0,9.0,2025-04-02,AP-MED12,2.8772782503037666,3.138517618469016,60.420496856304815,,
AP-CCOM18,5.0,-87.0,9.0,2025-04-02,AP-CCOM18,7.157545605306799,9.690713101160862,76.0005730486936,15.0,1.6326699834162521
AP-ICTAICP23,2.4,-51.0,9.0,2025-04-02,AP-ICTAICP23,1.2379826635145783,1.574468085106383,58.781480927636665,,
AP-CIEN10,5.0,-73.0,13.0,2025-04-02,AP-CIEN10,13.35933806146572,11.19070133963751,68.5865004026106,15.049645390070921,6.108747044917258
AP-BIBHUM07,5.0,-76.0,9.0,2025-04-02,AP-BIBHUM07,5.492981007431874,3.124690338563171,58.66555468948837,,
AP-MED60,2.4,-56.0,9.0,2025-04-02,AP-MED60,4.520882584712372,4.104806934594168,57.76101369730806,,
AP-LLET64,5.0,-57.0,9.0,2025-04-02,AP-LLET64,3.465721040189125,7.598896769109535,70.20942310765834,15.545311268715524,2.4286840031520884
AP-CIEN10,5.0,-83.0,13.0,2025-04-02,AP-CIEN10,13.35933806146572,11.19070133963751,68.5865004026106,15.049645390070921,6.108747044917258
AP-DRET02,5.0,-76.0,9.0,2025-04-02,AP-DRET02,13.303388494877856,12.479905437352246,76.66042954593891,16.016548463356973,2.178092986603625
AP-SAF09,2.4,-63.0,9.0,2025-04-02,AP-SAF09,4.166272655634358,6.334121355397951,69.83521709897906,20.49330181245075,2.326241134751773
AP-LLET13,5.0,-35.0,14.0,2025-04-02,AP-LLET13,3.541431261770245,5.552730696798493,67.02572631105147,15.448210922787194,2.8342749529190208
AP-CREAF05,5.0,-63.0,9.0,2025-04-02,AP-CREAF05,3.2537431048069347,3.0031520882584712,57.49458023614742,,
AP-ICTAICP21,2.4,-65.0,9.0,2025-04-02,AP-ICTAICP21,2.016548463356974,2.103230890464933,60.14579735700765,,
AP-EST03,2.4,-52.0,9.0,2025-04-02,AP-EST03,8.933018124507486,3.976359338061466,58.41640315203282,,
AP-VET34,5.0,-76.0,9.0,2025-04-02,AP-VET34,5.8132387706855795,3.8037825059101653,58.01565006575542,,
AP-CIEN14,5.0,-74.0,9.0,2025-04-02,AP-CIEN14,4.774625689519307,10.331757289204099,72.50991557409637,17.23798266351458,2.771473601260835
AP-IBB01,5.0,-67.0,9.0,2025-04-02,AP-IBB01,3.7825059101654848,5.732072498029945,67.75718184957891,15.771473601260835,2.0598896769109536
AP-CIEN62,5.0,-71.0,9.0,2025-04-02,AP-CIEN62,4.314420803782506,10.156028368794326,70.50163227925907,20.29787234042553,6.331757289204098
